province,date,temp_max,temp_min,wind_speed,precipitation,humidity
HO CHI MINH,2011-01-28,34.0,23.0,6.0,3.8,69.0
HO CHI MINH,2012-01-28,31.0,24.0,7.0,3.5,75.0
HO CHI MINH,2013-01-28,33.0,24.0,7.0,0.0,66.0
HO CHI MINH,2014-01-28,31.0,21.0,6.0,0.0,69.0
HO CHI MINH,2015-01-28,35.0,24.0,9.0,0.0,62.0
HO CHI MINH,2016-01-28,34.0,26.0,12.0,0.0,60.0
HO CHI MINH,2017-01-28,32.0,22.0,8.0,0.0,63.0
HO CHI MINH,2018-01-28,33.0,25.0,6.0,15.3,74.0
HO CHI MINH,2019-01-28,35.0,23.0,9.0,0.0,55.0
HO CHI MINH,2020-01-28,34.0,24.0,14.0,0.0,69.0
HO CHI MINH,2021-01-28,33.0,25.0,9.0,0.0,63.0
HO CHI MINH,2009-01-29,35.0,22.0,7.0,0.0,60.0
HO CHI MINH,2010-01-29,33.0,26.0,8.0,0.0,57.0
HO CHI MINH,2011-01-29,34.0,22.0,7.0,1.5,62.0
HO CHI MINH,2012-01-29,32.0,24.0,9.0,16.5,77.0
HO CHI MINH,2013-01-29,33.0,24.0,8.0,0.0,67.0
HO CHI MINH,2014-01-29,30.0,22.0,7.0,0.0,67.0
HO CHI MINH,2015-01-29,36.0,21.0,10.0,0.0,61.0
HO CHI MINH,2016-01-29,35.0,26.0,12.0,0.0,65.0
HO CHI MINH,2017-01-29,32.0,24.0,6.0,0.0,68.0
HO CHI MINH,2018-01-29,33.0,25.0,6.0,0.2,72.0
HO CHI MINH,2019-01-29,34.0,24.0,11.0,0.0,59.0
HO CHI MINH,2020-01-29,34.0,23.0,12.0,0.0,69.0
HO CHI MINH,2021-01-29,34.0,24.0,7.0,0.0,56.0
HO CHI MINH,2009-01-31,36.0,24.0,8.0,0.0,62.0
HO CHI MINH,2010-01-31,36.0,25.0,9.0,1.0,57.0
HO CHI MINH,2011-01-31,34.0,22.0,6.0,0.0,64.0
HO CHI MINH,2012-01-31,34.0,24.0,7.0,4.4,72.0
HO CHI MINH,2013-01-31,35.0,24.0,9.0,0.0,62.0
HO CHI MINH,2014-01-31,31.0,23.0,7.0,0.0,67.0
HO CHI MINH,2015-01-31,35.0,22.0,9.0,0.0,56.0
HO CHI MINH,2016-01-31,34.0,26.0,13.0,0.0,57.0
HO CHI MINH,2017-01-31,32.0,23.0,7.0,0.0,66.0
HO CHI MINH,2018-01-31,34.0,26.0,7.0,0.2,65.0
HO CHI MINH,2019-01-31,34.0,25.0,9.0,0.0,54.0
HO CHI MINH,2020-01-31,33.0,23.0,9.0,0.0,58.0
HO CHI MINH,2021-01-31,34.0,24.0,8.0,0.0,56.0
HO CHI MINH,2009-01-26,35.0,23.0,4.0,0.0,63.0
HO CHI MINH,2010-01-26,34.0,25.0,6.0,0.2,65.0
HO CHI MINH,2011-01-26,34.0,23.0,8.0,1.4,66.0
HO CHI MINH,2012-01-26,32.0,23.0,6.0,0.1,71.0
HO CHI MINH,2013-01-26,33.0,24.0,9.0,0.0,68.0
HO CHI MINH,2014-01-26,31.0,20.0,7.0,0.0,69.0
HO CHI MINH,2015-01-26,35.0,23.0,9.0,0.0,60.0
HO CHI MINH,2016-01-26,32.0,23.0,9.0,0.0,54.0
HO CHI MINH,2017-01-26,32.0,25.0,7.0,2.7,69.0
HO CHI MINH,2018-01-26,34.0,25.0,6.0,1.0,66.0
HO CHI MINH,2019-01-26,34.0,22.0,8.0,0.0,58.0
HO CHI MINH,2020-01-26,35.0,24.0,9.0,0.0,68.0
HO CHI MINH,2021-01-26,33.0,24.0,9.0,0.0,63.0
HO CHI MINH,2009-02-01,35.0,23.0,7.0,0.0,62.0
HO CHI MINH,2010-02-01,36.0,24.0,8.0,0.0,63.0
HO CHI MINH,2011-02-01,35.0,23.0,6.0,0.0,64.0
HO CHI MINH,2012-02-01,34.0,24.0,7.0,1.5,70.0
HO CHI MINH,2013-02-01,35.0,24.0,8.0,0.0,62.0
HO CHI MINH,2014-02-01,32.0,21.0,6.0,0.0,68.0
HO CHI MINH,2015-02-01,33.0,23.0,11.0,0.0,52.0
HO CHI MINH,2016-02-01,35.0,25.0,12.0,0.0,60.0
HO CHI MINH,2017-02-01,34.0,24.0,5.0,0.4,66.0
HO CHI MINH,2018-02-01,35.0,25.0,8.0,0.2,60.0
HO CHI MINH,2019-02-01,35.0,25.0,9.0,0.0,54.0
HO CHI MINH,2020-02-01,35.0,23.0,9.0,0.0,55.0
HO CHI MINH,2021-02-01,34.0,25.0,9.0,0.0,60.0
HO CHI MINH,2009-02-02,34.0,22.0,6.0,0.0,58.0
HO CHI MINH,2010-02-02,34.0,24.0,12.0,0.0,65.0
HO CHI MINH,2011-02-02,34.0,23.0,6.0,0.0,65.0
HO CHI MINH,2012-02-02,34.0,25.0,7.0,3.9,69.0
HO CHI MINH,2013-02-02,35.0,24.0,6.0,0.0,56.0
HO CHI MINH,2014-02-02,33.0,22.0,8.0,0.0,68.0
HO CHI MINH,2015-02-02,33.0,22.0,8.0,0.0,51.0
HO CHI MINH,2016-02-02,35.0,26.0,10.0,0.0,56.0
